steps,theta,theta_over_pi,leakage_mode,leakage_policy,p_success,p_env_0,p_env_1,mutual_information_env_success_bits,p_success_given_env_0,p_success_given_env_1
4,0.0,0.0,parity,echoed,0.60693359375,,,0.0,,
8,0.0,0.0,parity,echoed,0.99951171875,,,0.0,,
9,0.0,0.0,parity,echoed,0.9990234375,,,0.0,,
12,0.0,0.0,parity,echoed,0.544921875,,,0.0,,
4,0.0,0.0,parity,persistent,0.61181640625,,,0.0,,
8,0.0,0.0,parity,persistent,0.99853515625,,,0.0,,
9,0.0,0.0,parity,persistent,0.99951171875,,,0.0,,
12,0.0,0.0,parity,persistent,0.53076171875,,,0.0,,
4,0.39269908169872414,0.125,parity,echoed,0.61328125,1.0,0.0,0.0,0.61328125,
8,0.39269908169872414,0.125,parity,echoed,1.0,1.0,0.0,0.0,1.0,
9,0.39269908169872414,0.125,parity,echoed,1.0,1.0,0.0,0.0,1.0,
12,0.39269908169872414,0.125,parity,echoed,0.51513671875,1.0,0.0,0.0,0.51513671875,
4,0.39269908169872414,0.125,parity,persistent,0.59814453125,0.11083984375,0.88916015625,0.009093744889490114,0.44052863436123346,0.6177924217462932
8,0.39269908169872414,0.125,parity,persistent,0.96728515625,0.7744140625,0.2255859375,0.020801579589924433,0.9854981084489282,0.9047619047619048
9,0.39269908169872414,0.125,parity,persistent,0.96875,0.443359375,0.556640625,0.001327290701389876,0.960352422907489,0.9754385964912281
12,0.39269908169872414,0.125,parity,persistent,0.52392578125,0.2275390625,0.7724609375,0.012854694269457803,0.6459227467811158,0.4879898862199747
4,0.7853981633974483,0.25,parity,echoed,0.61474609375,1.0,0.0,0.0,0.61474609375,
8,0.7853981633974483,0.25,parity,echoed,0.99951171875,1.0,0.0,0.0,0.99951171875,
9,0.7853981633974483,0.25,parity,echoed,0.99951171875,1.0,0.0,0.0,0.99951171875,
12,0.7853981633974483,0.25,parity,echoed,0.5556640625,1.0,0.0,0.0,0.5556640625,
4,0.7853981633974483,0.25,parity,persistent,0.52294921875,0.5830078125,0.4169921875,0.04370312728361278,0.626465661641541,0.37822014051522246
8,0.7853981633974483,0.25,parity,persistent,0.8759765625,0.4296875,0.5703125,0.011198506723148802,0.8284090909090909,0.9118150684931506
9,0.7853981633974483,0.25,parity,persistent,0.8603515625,0.20654296875,0.79345703125,0.13063339900245285,0.5390070921985816,0.944
12,0.7853981633974483,0.25,parity,persistent,0.46484375,0.42431640625,0.57568359375,0.10113696084730792,0.2508630609896433,0.6225614927905004
4,1.5707963267948966,0.5,parity,echoed,0.59521484375,1.0,0.0,0.0,0.59521484375,
8,1.5707963267948966,0.5,parity,echoed,1.0,1.0,0.0,0.0,1.0,
9,1.5707963267948966,0.5,parity,echoed,0.99755859375,1.0,0.0,0.0,0.99755859375,
12,1.5707963267948966,0.5,parity,echoed,0.56103515625,1.0,0.0,0.0,0.56103515625,
4,1.5707963267948966,0.5,parity,persistent,0.33447265625,0.4658203125,0.5341796875,0.0001560253367955903,0.3270440251572327,0.34095063985374774
8,1.5707963267948966,0.5,parity,persistent,0.49072265625,0.4521484375,0.5478515625,0.04348098592627361,0.3563714902807775,0.6016042780748663
9,1.5707963267948966,0.5,parity,persistent,0.4873046875,0.56005859375,0.43994140625,0.042105325566085164,0.5937227550130776,0.3518312985571587
12,1.5707963267948966,0.5,parity,persistent,0.2734375,0.46044921875,0.53955078125,0.026291900433841907,0.1823966065747614,0.351131221719457
4,3.141592653589793,1.0,parity,echoed,0.60400390625,1.0,0.0,0.0,0.60400390625,
8,3.141592653589793,1.0,parity,echoed,0.998046875,1.0,0.0,0.0,0.998046875,
9,3.141592653589793,1.0,parity,echoed,1.0,1.0,0.0,0.0,1.0,
12,3.141592653589793,1.0,parity,echoed,0.5390625,1.0,0.0,0.0,0.5390625,
4,3.141592653589793,1.0,parity,persistent,0.32666015625,0.78173828125,0.21826171875,0.026000641285962238,0.27857589006870703,0.4988814317673378
8,3.141592653589793,1.0,parity,persistent,0.515625,0.517578125,0.482421875,0.0034657641021891943,0.5490566037735849,0.4797570850202429
9,3.141592653589793,1.0,parity,persistent,0.50830078125,0.5126953125,0.4873046875,0.0016248129376707325,0.5314285714285715,0.48396793587174347
12,3.141592653589793,1.0,parity,persistent,0.28515625,0.5966796875,0.4033203125,0.061928247850425985,0.17594108019639934,0.4467312348668281
