group,label,eta,theta,theta_over_pi,leakage_mode,leakage_policy,k_opt,p_opt,p_final,auc,first_peak,second_peak,kappa,l2_from_ideal,max_abs_gap_from_ideal
leakage,echoed leakage theta/pi=0.000,,0.0,0.0,parity,echoed,9,0.9990234375,0.9248046875,0.489521484375,"(np.int64(2), np.float64(0.267578125))","(np.int64(9), np.float64(0.9990234375))",,0.01211314556778344,0.0224609375
leakage,echoed leakage theta/pi=0.125,,0.39269908169872414,0.125,parity,echoed,9,1.0,0.92041015625,0.490556640625,"(np.int64(2), np.float64(0.25390625))","(np.int64(4), np.float64(0.62109375))",,0.009962704877143078,0.02490234375
leakage,echoed leakage theta/pi=0.250,,0.7853981633974483,0.25,parity,echoed,9,0.99951171875,0.923828125,0.487060546875,"(np.int64(2), np.float64(0.27392578125))","(np.int64(6), np.float64(0.90087890625))",,0.009174971297696342,0.01904296875
leakage,echoed leakage theta/pi=0.500,,1.5707963267948966,0.5,parity,echoed,9,1.0,0.93115234375,0.493798828125,"(np.int64(4), np.float64(0.61474609375))","(np.int64(9), np.float64(1.0))",,0.011220666185941239,0.0224609375
leakage,echoed leakage theta/pi=1.000,,3.141592653589793,1.0,parity,echoed,9,1.0,0.9267578125,0.4909375,"(np.int64(2), np.float64(0.2685546875))","(np.int64(6), np.float64(0.90185546875))",,0.009202913411151658,0.01904296875
leakage,persistent leakage theta/pi=0.000,,0.0,0.0,parity,persistent,9,0.99951171875,0.9296875,0.48951171875,"(np.int64(2), np.float64(0.25732421875))","(np.int64(6), np.float64(0.90478515625))",,0.01177067136122906,0.03955078125
leakage,persistent leakage theta/pi=0.125,,0.39269908169872414,0.125,parity,persistent,9,0.96484375,0.89794921875,0.474833984375,"(np.int64(2), np.float64(0.25341796875))","(np.int64(6), np.float64(0.87060546875))",,0.020613735653113308,0.04345703125
leakage,persistent leakage theta/pi=0.250,,0.7853981633974483,0.25,parity,persistent,8,0.8662109375,0.822265625,0.4315234375,"(np.int64(2), np.float64(0.22802734375))","(np.int64(4), np.float64(0.54345703125))",,0.07395740782605348,0.15087890625
leakage,persistent leakage theta/pi=0.500,,1.5707963267948966,0.5,parity,persistent,25,0.5224609375,0.5224609375,0.257939453125,"(np.int64(2), np.float64(0.15869140625))","(np.int64(4), np.float64(0.33447265625))",,0.2901424449962702,0.52978515625
leakage,persistent leakage theta/pi=1.000,,3.141592653589793,1.0,parity,persistent,9,0.5224609375,0.50244140625,0.2641796875,"(np.int64(6), np.float64(0.46240234375))","(np.int64(9), np.float64(0.5224609375))",,0.28093986039562624,0.4775390625
