group,label,eta,theta_over_pi,leakage_mode,leakage_policy,k_opt,p_opt,auc,l2_from_ideal,max_abs_gap_from_ideal,theta,p_final,first_peak,second_peak,kappa,name,p1,p2,p_meas
control,ideal isolated oracle,,,,,9,0.99951171875,0.487275390625,0.0,0.0,,0.93212890625,"(np.int64(2), np.float64(0.26123046875))","(np.int64(4), np.float64(0.59619140625))",,,,,
control,isolated oracle + implementation noise,,,,,4,0.267578125,0.116826171875,0.48636433558198444,0.8857421875,,0.05029296875,"(np.int64(2), np.float64(0.15087890625))","(np.int64(4), np.float64(0.267578125))",,,,,
semantic_oracle,quenched semantic oracle eta=0.000,0.0,,,,8,0.9990196078431373,0.49061764705882355,0.009442044915727204,0.023885569852941213,,0.9299019607843138,"(np.int64(4), np.float64(0.6161764705882353))","(np.int64(8), np.float64(0.9990196078431373))",,,,,
semantic_oracle,quenched semantic oracle eta=0.030,0.03,,,,8,0.9990196078431373,0.47726470588235287,0.03988349842866032,0.16715877757352937,,0.8553921568627451,"(np.int64(2), np.float64(0.2681372549019608))","(np.int64(8), np.float64(0.9990196078431373))",,,,,
semantic_oracle,quenched semantic oracle eta=0.075,0.075,,,,8,0.9995098039215686,0.4682254901960784,0.04529143267603829,0.12654909620098043,,0.8524509803921568,"(np.int64(2), np.float64(0.2627450980392157))","(np.int64(8), np.float64(0.9995098039215686))",,,,,
semantic_oracle,quenched semantic oracle eta=0.150,0.15,,,,8,0.9156862745098039,0.4179705882352942,0.10634592262682101,0.24951171875,,0.6892156862745098,"(np.int64(2), np.float64(0.27205882352941174))","(np.int64(4), np.float64(0.5661764705882353))",,,,,
semantic_oracle,annealed semantic oracle eta=0.000,0.0,,,,9,0.9995098039215686,0.4919117647058823,0.011567868660750543,0.036065793504901966,,0.9308823529411765,"(np.int64(2), np.float64(0.2593137254901961))","(np.int64(6), np.float64(0.903921568627451))",,,,,
semantic_oracle,annealed semantic oracle eta=0.030,0.03,,,,8,0.9803921568627451,0.4867254901960784,0.08047261292569342,0.17129289215686275,,0.7843137254901961,"(np.int64(4), np.float64(0.5970588235294118))","(np.int64(6), np.float64(0.8980392156862745))",,,,,
semantic_oracle,annealed semantic oracle eta=0.075,0.075,,,,9,0.9995098039215686,0.475421568627451,0.16580860399979402,0.31982230392156863,,0.7112745098039216,"(np.int64(4), np.float64(0.5588235294117647))","(np.int64(7), np.float64(0.8700980392156863))",,,,,
semantic_oracle,annealed semantic oracle eta=0.150,0.15,,,,8,0.7803921568627451,0.44629411764705884,0.27437168923298033,0.5654622395833333,,0.4411764705882353,"(np.int64(2), np.float64(0.24019607843137256))","(np.int64(4), np.float64(0.6049019607843137))",,,,,
